X,Y,Store_Name,Address,Address_Line__2,City,State,Zip5,County,Longitude,Latitude,ObjectId
-79.970963,40.336636,Sheetz 253,251 Curry Hollow Rd,,Pittsburgh,PA,15236,ALLEGHENY,-79.970963,40.336636,84318
-79.986649,40.392368,Himalayan Asian Grocery Llc,2122 Brownsville Rd,Ste 1,Pittsburgh,PA,15210,ALLEGHENY,-79.986649,40.392368,84332
-79.987801,40.414139,Family Dollar Store 2116,240 Hays Ave,,Pittsburgh,PA,15210,ALLEGHENY,-79.987801,40.414139,84340
-79.885574,40.453945,King City,7900 Bennett St,,Pittsburgh,PA,15221,ALLEGHENY,-79.885574,40.453945,85509
-80.052292,40.382473,CVS Pharmacy 5094,328 Cochran Rd,,Pittsburgh,PA,15228,ALLEGHENY,-80.052292,40.382473,86013
-80.052246,40.493916,CVS Pharmacy 4103,355 LINCOLN AVE,,PITTSBURGH,PA,15202,ALLEGHENY,-80.052246,40.493916,86172
-80.055382,40.495407,DOLLAR GENERAL  4607,491 Lincoln Ave,,Bellevue,PA,15202,ALLEGHENY,-80.055382,40.495407,86327
-80.057396,40.496387,LINCOLN BAKERY,543 Lincoln Ave,,Bellevue,PA,15202,ALLEGHENY,-80.057396,40.496387,86330
-79.887764,40.424519,DOLLAR TREE 142,1759 S Braddock Ave,,Pittsburgh,PA,15218,ALLEGHENY,-79.887764,40.424519,87444
-79.88549,40.420628,NOBLE MART,2100 Noble St,,Swissvale,PA,15218,ALLEGHENY,-79.88549,40.420628,87450
-79.883537,40.487457,GetGo 3172,1081 Freeport Rd,,Pittsburgh,PA,15238,ALLEGHENY,-79.883537,40.487457,87640
-79.836693,40.537529,Giant Eagle 5103,2611 Freeport Rd,,Pittsburgh,PA,15238,ALLEGHENY,-79.836693,40.537529,87653
-79.882141,40.487637,Rite Aid 10954,1125 Freeport Rd,,Pittsburgh,PA,15238,ALLEGHENY,-79.882141,40.487637,87668
-79.890244,40.486656,Walmart 5339,877 Freeport Rd,,Pittsburgh,PA,15238,ALLEGHENY,-79.890244,40.486656,87699
-79.854538,40.346779,Dc Foodmart,929 Union Ave,,McKeesport,PA,15132,ALLEGHENY,-79.854538,40.346779,87720
-79.837158,40.34462,Unimart,3400 Versailles Ave,,McKeesport,PA,15132,ALLEGHENY,-79.837158,40.34462,87721
-79.777924,40.402569,Taza Market,500 2nd Street,,Pitcairn,PA,15140,ALLEGHENY,-79.777924,40.402569,88239
